Cluster,Top Terms
0,"bush, obama, won, trump, romney"
1,"nixon, kennedy, johnson, election, humphrey"
2,"reagan, carter, ford, mondale, president"
3,"eisenhower, truman, roosevelt, dewey, stevenson"
4,"clinton, dole, perot, 1992, bush"
5,"trump, biden, harris, 2021, election"
